a,b,c,d
3197,7292,5569,1358
5819,5205,1680,1358
979,6924,5157,1356
6934,951,7504,1356
1984,4185,1892,1356
4283,9,5733,1358
923,5892,5812,1357
5916,8452,8225,1356
9499,8328,512,1357
3266,3377,8737,1358
1361,5165,9056,1358
853,2089,5556,1357
1080,670,7780,1357
3189,7691,6276,1358
3266,3457,1089,1356
6916,9268,3313,1356
1858,398,2960,1356
9987,1142,5828,1356
1501,6240,6853,1357
1664,2758,5313,1358
6527,2227,8160,1358
3297,5290,1509,1357
8767,1551,5072,1358
7623,6787,3029,1356
481,5912,3348,1357
6307,3867,6661,1357
7988,4958,65,1356
5973,5761,4420,1357
3952,4858,6673,1358
4074,6231,5620,1358
2389,559,9825,1358
1106,9203,3397,1358
5045,440,2324,1356
9603,431,1908,1356
9421,2923,5301,1356
1645,6622,9281,1356
8395,6518,7237,1356
3681,1362,9456,1356
5316,1971,2880,1358
4507,9058,8864,1357
4242,9951,212,1356
3269,3806,4817,1358
6824,939,6501,1356
6195,7597,5920,1357
3172,8054,2420,1358
9406,6771,5429,1358
2121,3388,8529,1357
520,8728,5441,1356
4742,1292,1536,1356
2941,814,7104,1356
1530,1372,4549,1356
8190,8212,1377,1358
5044,2407,7441,1357
8262,307,5648,1356
3328,8476,9317,1357
4818,3035,4400,1356
9613,7806,8176,1358
9866,3702,176,1356
176,9642,7301,1358
327,3314,9701,1358
116,3987,6997,1357
293,6570,9269,1356
4157,1266,1168,1357
9731,1180,8672,1356
7492,3349,8916,1357
1973,4219,4452,1356
9724,2451,8401,1357
8350,4149,7268,1356
5313,949,1076,1356
9117,9194,3537,1358
7228,2022,1908,1356
3141,9007,9525,1356
6010,1722,1476,1357
3305,6784,6117,1358
103,9612,1968,1357
1061,4099,7264,1357
718,5009,5557,1357
4286,4534,8005,1356
7602,1706,7589,1358
4754,6096,437,1358
8823,3312,9249,1358
1935,9422,1697,1358
4338,1005,305,1356
4676,4518,5729,1357
4671,307,3633,1356
693,7611,533,1356
9050,6248,3601,1357
4672,2788,2789,1356
2810,7819,1285,1357
9315,5237,8288,1356
865,543,2688,1356
9103,9939,3108,1357
1454,8850,3329,1358
6834,8961,9909,1357
4772,345,1825,1358
1965,5947,7953,1358
4987,9763,2257,1358
768,3079,2005,1358
4888,3989,4944,1357
8859,130,5348,1356
3906,3951,1460,1357
7462,5929,4100,1356
1619,567,6820,1356
8447,2676,9713,1357
3340,1642,5733,1356
3280,2301,5189,1356
4808,5108,5509,1356
6153,5265,3120,1356
4428,2148,1840,1358
3825,958,5777,1358
2096,6451,4133,1357
7853,1904,1429,1358
8301,120,2373,1358
8044,5835,6372,1356
9460,278,5152,1357
6888,153,6548,1358
5814,6166,5265,1358
8606,5156,2161,1357
9406,3608,7221,1358
7566,757,1584,1357
9527,8525,4628,1356
8441,352,3840,1356
1530,4204,1984,1357
498,4897,4724,1358
3813,9120,896,1357
6693,9724,4289,1357
9962,3261,1936,1357
696,9133,7748,1358
4014,7157,7268,1356
613,3322,3940,1358
5817,2204,4148,1356
1458,613,4177,1356
8470,4717,4212,1356
7375,8537,8965,1358
721,5015,9284,1356
8395,9484,9428,1356
3298,7271,7440,1357
7782,7246,7125,1358
3877,6030,4517,1356
6507,8153,8165,1356
8084,7305,3620,1358
1166,6448,8916,1358
1607,7501,2132,1358
5749,3019,2081,1357
9241,7423,1157,1357
2110,8643,3200,1356
5834,803,5584,1358
5024,4867,4640,1357
9776,2185,8561,1357
8401,7580,3813,1356
4851,8384,4036,1358
8470,7433,7888,1358
282,1785,3477,1357
3009,8210,5380,1357
3703,1544,7297,1358
1605,7940,5169,1357
1132,2468,9504,1358
1164,732,144,1356
5558,793,9136,1357
4348,3452,5429,1357
5706,3078,901,1358
632,1939,7429,1357
3607,5657,7604,1358
9942,4321,7077,1356
7344,5634,3728,1356
9226,5679,5140,1358
6936,4945,2944,1356
8825,9105,916,1356
5490,6431,612,1358
6374,9691,160,1358
9324,522,9425,1356
4728,8935,9317,1358
8127,6979,5265,1356
1465,8272,7776,1357
6974,2506,9509,1356
3998,7146,4480,1357
5818,7682,2912,1358
915,4143,3408,1358
2635,9061,1921,1358
6764,5254,4449,1358
6515,3204,517,1357
4169,4714,641,1358
3780,8585,7281,1358
939,2880,4357,1357
9122,4513,3012,1357
7733,7947,5444,1358
9015,913,4592,1356
7687,6794,8709,1357
2164,3416,644,1357
8563,951,7333,1357
3988,4854,4628,1358
3677,345,5281,1358
9915,6505,9985,1356
758,3010,6132,1358
584,8721,9232,1356
7316,9116,9652,1357
2416,7265,1777,1356
8135,1215,3360,1357
3164,5892,4212,1357
5035,5496,2705,1356
5354,688,7749,1357
7258,2726,8721,1356
3801,1952,4881,1356
690,3021,2612,1358
7407,3623,9365,1356
1412,6320,2148,1358
912,5222,9541,1356
656,8693,2800,1356
6177,7497,4848,1357
4352,4822,1364,1358
7038,2597,9205,1356
6954,6406,8144,1357
7366,8290,1044,1356
4360,7522,2180,1356
3563,5693,8564,1356
4390,1033,5221,1358
8859,5230,8032,1356
6713,2548,9220,1358
6510,9208,3620,1357
7201,2110,1317,1356
3369,3279,9589,1357
7833,3333,9696,1357
6772,5453,289,1357
2514,5114,5492,1356
98,8299,4592,1356
247,8189,7845,1358
3695,1269,9680,1357
6617,7637,9681,1358
1034,2705,3441,1358
389,2217,6948,1358
8920,6205,1764,1358
6851,733,3601,1356
7598,1315,4100,1356
1336,8917,9860,1358
2558,6376,7892,1358
9301,6892,9584,1357
5163,4726,276,1357
3594,532,7457,1356
8836,4248,3492,1357
2694,9786,7269,1356
1538,4539,8145,1358
6299,7458,2565,1357
4465,9169,7969,1358
7409,7904,7152,1357
2771,9301,9557,1357
6133,7757,9892,1358
1927,1758,4724,1357
7629,2818,9621,1357
2999,577,5521,1358
6411,170,2548,1357
9180,9400,8241,1357
1035,6331,9284,1357
8648,3899,9904,1356
3730,6683,8548,1357
4264,329,9696,1358
4112,7925,7749,1358
7868,3994,6196,1357
8900,301,1381,1357
8124,3982,2033,1356
2211,1487,9008,1356
5849,7996,1925,1356
8755,576,7652,1356
2582,1623,7813,1357
3664,416,9012,1357
4346,8288,7924,1357
2794,8337,401,1357
2392,2634,5185,1357
8953,8243,1824,1356
9042,3912,7989,1358
4680,9051,1461,1356
4419,2337,1985,1356
2440,7069,741,1356
1433,480,8933,1357
273,8881,5748,1358
1728,4207,5216,1358
5941,3853,7572,1356
2219,6473,1700,1356
2253,2679,4805,1357
7905,6190,608,1357
9089,7545,1904,1357
4404,6875,1680,1358
7967,6044,5348,1356
2888,3190,5040,1356
1300,3160,6352,1358
6903,9285,7108,1356
8273,9052,6016,1357
9179,2025,3828,1357
9520,4727,1268,1357
2602,4742,1445,1358
4348,2314,5617,1356
4792,9746,405,1358
3150,632,6917,1358
3452,1423,6469,1358
2676,4521,4033,1357
9320,7125,9921,1356
8629,5902,6256,1356
5695,5188,9380,1357
9204,3619,261,1356
177,9980,1620,1357
8418,7882,997,1358
8041,3331,3408,1357
1287,92,6148,1357
9634,5114,6757,1356
6424,9130,6624,1357
871,5802,1360,1356
4917,5353,2976,1356
52,4888,3137,1356
1678,7798,8196,1357
4870,8097,1104,1357
4307,7432,7585,1358
8807,7175,4452,1357
5905,6785,3776,1358
1868,5313,8517,1357
9991,2209,8325,1358
9920,6162,4192,1358
8265,7933,8324,1357
4890,491,1504,1358
3963,704,4884,1358
9539,5764,6132,1356
2937,2580,5941,1357
4734,4319,6933,1358
7612,8633,2356,1357
8583,91,356,1358
6122,3686,6004,1358
7386,9318,7893,1358
7331,9615,5476,1356
8827,6787,6996,1356
9148,8949,7073,1357
9101,9406,7444,1356
1181,7106,7604,1356
8167,6256,4912,1356
5175,7790,8624,1357
7225,6136,4596,1356
7983,2818,5556,1356
5216,4655,6385,1356
7028,7444,7412,1356
3456,4165,7777,1357
4583,5174,4245,1356
3628,599,4384,1357
3159,6182,9824,1357
83,6224,1521,1357
6611,5149,1780,1356
8593,4750,4321,1357
9690,7882,6769,1358
4682,5087,1024,1358
5507,4515,6768,1357
7418,3187,1924,1358
7458,2838,1508,1356
321,6478,1828,1357
2022,8117,1424,1356
8611,7558,3461,1356
6798,1753,7393,1356
9607,89,9748,1358
1120,7922,3296,1358
9263,2949,2228,1358
5548,5583,9108,1357
3714,4316,4928,1357
7751,3641,6017,1358
2746,5179,1348,1357
3658,2879,2737,1356
7086,9209,3909,1357
927,8181,2197,1356
7639,9789,4992,1358
8827,4363,2272,1357
9310,4276,9857,1356
1761,3538,6180,1357
1702,9714,9397,1357
7875,721,5680,1356
1151,6855,8981,1356
2489,7392,4548,1358
374,1918,1701,1358
6257,4523,4496,1358
1102,1055,5605,1357
1562,9876,2272,1356
664,4416,7856,1357
9154,3688,9984,1358
7679,3993,4832,1358
6829,9269,6341,1356
5714,8492,8580,1357
2376,8888,2804,1358
3208,7755,3601,1357
5515,5876,2800,1357
2903,1165,7332,1358
9925,2773,5332,1356
452,722,5861,1356
683,9180,7681,1356
4944,5042,965,1358
9320,6430,3556,1357
5254,4401,4277,1356
9587,7906,4465,1357
9071,3714,2304,1356
3700,457,3312,1357
4282,78,9604,1357
5407,5018,4292,1356
9060,5284,4497,1356
5190,1365,756,1356
2365,6140,3920,1357
724,3019,6164,1356
1564,7271,2853,1356
5138,7482,3937,1356
4169,2556,145,1356
6590,9023,6948,1357
2396,6124,1765,1357
442,3095,6960,1356
3984,5413,2085,1356
2741,2831,9556,1358
8278,8749,6336,1358
6680,4445,645,1356
1492,9922,4116,1357
3567,5422,1425,1356
5319,2021,5920,1358
38,8608,9473,1357
6734,764,9189,1356
1355,4173,9365,1356
4848,7084,8017,1356
3239,7980,8228,1356
3483,7457,4580,1357
4501,8838,4545,1358
2746,1303,8736,1358
1316,6622,9921,1358
4185,4547,7957,1358
9569,5578,6016,1356
4205,2335,3685,1357
5997,2585,2256,1356
5233,7447,7397,1356
3821,5595,7968,1356
84,3963,4897,1358
8537,712,6929,1357
2938,4952,1236,1358
898,1351,2512,1356
9439,8826,4960,1356
5033,148,692,1356
9592,3756,7808,1357
8744,6766,4320,1356
332,3827,4497,1357
5718,3452,5920,1356
4755,7732,8068,1356
8697,4363,5873,1357
4237,3477,1120,1357
9540,2759,6801,1357
73,3987,6084,1357
4189,576,8613,1357
1702,1614,1440,1357
7821,2306,7809,1357
2926,6446,5696,1356
230,9738,4564,1358
1661,9720,7952,1358
3753,3898,3701,1358
1396,6410,9509,1358
3857,3673,8385,1358
1996,2648,2256,1358
6885,9319,4084,1357
4068,678,1329,1357
1367,1648,5265,1356
4286,7819,641,1357
237,5722,9553,1356
1001,6561,580,1357
4401,5711,9749,1356
6764,7865,9541,1358
3767,6162,1908,1357
3243,6578,4001,1357
2554,6584,6005,1356
4943,4306,6021,1356
1867,7842,9588,1358
2723,128,9856,1356
1347,5496,8560,1356
6890,6669,3173,1358
9040,9013,8657,1357
3468,8206,4261,1357
815,5179,5988,1358
7193,8876,6064,1356
8897,3338,4017,1357
2984,1553,1361,1357
2409,107,8528,1356
7678,813,2117,1357
6402,1686,2785,1356
7483,1439,6900,1356
9364,5113,8085,1356
6595,3934,5604,1356
1968,4689,7361,1358
4395,8655,6257,1357
8925,3371,5184,1357
9358,7912,3217,1358
1899,5467,5669,1357
5673,517,6468,1358
6564,2313,9233,1356
5776,8873,740,1356
8200,3357,8400,1358
8196,1050,6368,1358
2726,2110,8336,1356
7661,8387,9381,1358
9738,6026,625,1358
6642,3495,9572,1358
4717,9954,8469,1357
7358,3955,884,1358
5162,4270,2161,1358
3260,5610,6881,1356
6360,6192,2848,1357
2023,9248,3680,1357
370,9665,1249,1356
802,3834,3780,1357
3,8514,8849,1356
7070,2026,7092,1358
3246,5840,7172,1356
3861,3142,6165,1357
7845,9786,6532,1356
4425,2474,2865,1356
7088,7715,3124,1357
9243,5575,3765,1356
5370,8165,8129,1358
1943,1605,9652,1356
9699,2273,6017,1356
1345,3273,5808,1356
7907,2969,6660,1358
701,9141,8529,1356
8164,4640,5269,1357
2879,4822,6945,1358
5654,8864,7077,1358
5199,8050,3749,1358
3977,2937,3076,1358
7797,7595,612,1357
2836,2108,1557,1356
4096,1139,1857,1358
1340,4294,6433,1357
1247,2724,9348,1357
6657,2558,2772,1357
9425,3738,3013,1358
3436,1480,5377,1357
4450,2172,3872,1356
2015,1876,3637,1358
5115,3717,245,1356
2137,9634,5408,1357
7669,4302,8100,1358
6173,8705,1332,1357
8492,2983,1184,1358
791,4262,4432,1357
7396,171,4133,1356
2899,2891,3685,1356
6289,8224,2609,1356
4542,2679,9873,1356
2484,1645,3060,1357
1506,8766,7108,1358
1696,5813,2773,1356
9725,8252,6096,1356
1809,2615,5665,1357
9722,2311,6833,1357
1563,8240,9717,1356
7979,470,6416,1357
6565,6890,4896,1358
3935,8280,1572,1356
7162,7352,1493,1358
4289,9651,6708,1356
5292,2109,7092,1358
3628,6409,3024,1358
5268,7275,9808,1358
9678,7961,2533,1358
5566,9294,8021,1356
7107,2672,4149,1357
5520,3898,4416,1356
5431,9238,9553,1356
1148,3522,1361,1357
1586,6681,3108,1357
2334,9895,2340,1356
4169,6340,532,1358
9810,3764,9861,1356
5419,8744,1713,1356
6382,9621,7140,1358
1045,2760,7616,1356
9871,1175,8357,1357
2208,1429,129,1356
1281,1233,6736,1358
4493,6790,980,1357
9046,3954,4740,1357
3479,6462,2020,1357
6032,2968,6656,1358
2830,4453,8533,1356
8794,9110,2069,1356
3803,6098,9728,1357
3776,7585,6064,1357
3924,3634,6161,1356
9513,4645,9585,1358
3018,1499,7888,1357
1829,4119,660,1356
3370,1514,4500,1358
8861,8617,2997,1358
1754,8943,4629,1358
236,3296,1505,1356
2344,5614,3381,1357
6839,5241,7637,1357
8712,6185,4452,1358
9049,2655,2337,1356
1099,5351,1029,1358
7054,888,9792,1357
6827,2410,1024,1357
7698,3317,3984,1357
8657,5306,3253,1358
93,5851,1441,1356
3949,4034,2833,1357
5485,9999,9633,1358
9026,5061,5828,1356
4442,2773,4000,1357
6707,9413,7601,1356
215,1059,5936,1357
3696,3528,3392,1357
8974,9396,6261,1356
70,1462,2832,1356
7120,4374,420,1357
1820,3396,1665,1356
3826,6177,5729,1357
4792,1730,7617,1356
2076,1186,1681,1357
5226,5066,2132,1357
5423,5929,4560,1358
4377,2309,8468,1357
2842,7604,4020,1358
2314,4819,928,1356
9657,5305,192,1358
3466,783,436,1357
1518,8460,9829,1357
2428,754,3888,1356
1568,5945,1424,1358
350,2746,2725,1357
8407,4234,4501,1358
5669,4280,8405,1356
4524,898,6913,1358
8352,4052,4737,1358
5864,5345,8612,1358
6982,4419,2132,1358
6714,1896,2081,1357
5560,2671,2340,1357
3407,5090,1744,1358
6116,9770,5493,1356
7619,6983,2321,1356
4697,6356,9204,1357
1814,7971,2321,1358
8781,6991,3920,1358
8699,4299,7812,1357
9271,5035,5028,1356
4649,5616,2384,1358
162,6947,3937,1356
3007,5789,5905,1356
1803,5890,8849,1357
3699,5119,3489,1357
1940,6292,7717,1358
4822,3127,3893,1357
594,4397,9989,1358
8701,3843,8640,1358
1881,9168,6021,1356
3573,2139,7444,1358
2392,1564,4609,1357
8325,914,6481,1357
5266,4016,3616,1356
2027,7929,2224,1356
5612,4480,1041,1357
2399,5585,6276,1357
4788,82,6532,1356
2539,7001,8292,1358
3561,8096,9313,1356
470,1829,853,1358
4105,4337,9924,1357
9702,8554,5872,1356
277,5775,2177,1358
7303,299,2740,1358
792,3221,145,1356
9404,39,9253,1357
1074,4211,9205,1357
3418,141,1377,1356
2989,4079,8369,1356
1310,1836,8129,1358
2861,1757,9972,1358
7598,8953,4177,1357
705,5295,8997,1358
1624,4731,4261,1356
1865,4714,4165,1357
5215,7948,4997,1356
5830,4072,3473,1356
1552,4377,5252,1356
4388,4014,4132,1357
2050,7935,32,1357
6342,4784,5248,1356
2990,76,6736,1357
5332,8248,8801,1357
1660,8524,5120,1358
8543,8038,8625,1357
6975,2114,6533,1356
9212,3569,4325,1357
2528,5312,9504,1357
5349,3142,5908,1358
4680,7109,1492,1358
2417,9734,597,1356
1771,1473,4533,1357
3948,5716,1616,1356
5356,3551,916,1357
2148,3499,4853,1358
946,5637,6757,1356
6437,9998,1524,1358
9478,5550,2628,1356
5908,6211,8560,1358
4965,4802,7904,1358
5623,210,9525,1356
4996,7930,1569,1357
6418,5471,9120,1357
6670,531,833,1358
3032,804,2497,1357
8206,607,3109,1356
3870,1286,1332,1358
4512,3833,7809,1357
6332,9133,1937,1358
9771,841,1457,1358
1691,2943,3200,1356
7649,2716,6560,1356
7209,5253,7797,1357
8270,498,5809,1358
869,8908,1744,1358
562,7096,7120,1356
9787,4798,2209,1358
213,38,9972,1357
5074,237,9092,1358
9624,6504,5328,1357
4622,6772,1717,1356
8405,7523,5396,1357
1491,2672,7204,1356
8578,558,6196,1358
4412,9914,2900,1357
8395,4933,5504,1357
3971,8074,8101,1358
8014,3464,7760,1356
5356,381,2657,1356
266,5293,8929,1356
2273,9887,9232,1356
3099,7460,1061,1357
8448,3530,9252,1357
1086,7900,4036,1356
1777,609,2629,1356
9632,9180,2160,1356
1566,5832,6261,1356
1745,233,7413,1357
8254,3978,1168,1356
5818,4082,4528,1356
2044,1491,9797,1357
5265,6282,8548,1356
2167,7643,9157,1357
5474,7099,6757,1358
1215,208,2180,1358
5523,6083,7313,1356
2027,7119,2756,1356
4318,5067,4468,1356
75,22,5845,1357
3134,8021,245,1358
7801,5689,4165,1358
2009,399,1248,1356
7105,6726,6624,1356
4922,6648,6405,1357
2295,5383,9701,1357
3344,3425,4709,1356
8365,8922,7605,1357
6184,2817,389,1356
2274,1856,4500,1356
8968,8549,661,1356
5646,1625,5540,1357
4135,1198,4096,1358
9967,268,5028,1358
1402,8249,9156,1358
5866,4231,8961,1357
2155,7803,9488,1357
4793,7925,3317,1357
5148,2422,9764,1358
3549,1404,7141,1356
535,6990,8565,1357
461,7147,8229,1358
6445,5995,3968,1358
2433,5452,5221,1356
7220,4190,4544,1357
3752,6114,8624,1357
5798,4930,2641,1356
1376,752,8756,1357
8974,6013,8404,1357
9381,1567,9504,1356
6280,8700,1840,1357
5138,7111,8740,1357
71,405,2469,1357
5204,7119,1972,1357
992,9932,9876,1356
3141,710,1904,1357
3827,6367,7973,1356
8874,282,1168,1358
6370,8485,100,1356
5034,1145,6864,1357
9385,1376,4677,1357
8183,5510,6501,1356
4825,4565,9441,1358
1730,9774,9169,1357
4713,3804,7941,1358
1815,5888,7681,1356
9709,6606,2532,1358
3313,7564,4529,1356
6194,288,8961,1358
182,8345,8260,1357
6178,5563,1393,1358
6130,3076,5649,1356
6243,8900,2741,1356
1698,7679,5380,1356
4074,132,8433,1358
9723,4988,9105,1356
20,2831,5137,1356
1823,1118,8032,1356
2287,9377,6672,1358
9039,2444,9140,1357
2841,3669,7632,1357
1212,6620,1504,1358
931,9005,2789,1357
7240,5169,9477,1358
2756,7597,453,1358
7386,8314,4913,1358
3901,6600,9152,1357
8870,9660,228,1356
7774,3850,3493,1357
5510,3620,3284,1356
9929,5722,4149,1357
1733,7490,7696,1356
197,2882,592,1358
3874,8603,7556,1356
9312,773,4101,1356
3460,9249,9413,1358
6083,5687,9237,1356
1504,5928,9541,1356
188,6944,6224,1358
607,1958,1252,1357
1938,3936,5572,1357
5023,6453,4288,1358
4148,3662,1392,1357
5760,8446,7301,1358
5745,8970,5332,1358
4344,8890,4420,1358
7396,7266,8789,1356
8285,9463,4980,1357
1443,4499,3317,1356
3648,4539,5200,1358
5808,2366,81,1358
3076,5453,960,1356
7903,6859,8788,1357
388,1342,8853,1358
2372,8255,6721,1357
1155,5308,3652,1356
6889,6437,1796,1356
2819,4288,9972,1358
8027,3186,5089,1357
8340,1584,528,1358
4153,4900,9169,1358
129,5546,1745,1356
1077,4787,2704,1358
1448,8175,709,1356
9874,5241,48,1358
1888,9875,8304,1356
7679,3635,1152,1358
7542,1048,5729,1357
9821,8917,8976,1356
8480,3008,5761,1358
4935,5104,6885,1356
4762,7208,3140,1357
6731,3023,5568,1356
477,9251,3364,1358
8297,1357,6501,1358
8733,3886,3621,1357
9849,8641,4641,1358
3354,7875,4773,1356
8350,4997,4629,1358
5736,6344,1792,1356
5364,2695,2145,1358
8803,3394,3153,1356
7804,7837,6673,1357
4185,1585,5172,1356
461,2234,6084,1358
4067,1732,1441,1356
5267,668,3872,1357
4704,931,8756,1357
7043,4764,9489,1358
1344,372,4005,1356
9371,8280,5909,1356
2724,3925,2068,1358
2157,3408,2560,1356
8994,7336,4053,1357
3885,1642,1649,1356
5550,4315,2885,1358
3752,5391,4049,1358
6812,2321,3488,1358
7516,1738,9220,1357
1616,8781,9588,1357
6522,3370,2225,1356
3193,6525,3940,1357
7171,9166,2517,1358
4650,7064,4884,1357
170,7354,8688,1357
8717,6150,4517,1358
4341,8799,1828,1357
2313,8338,8864,1356
179,3255,4533,1358
6046,9221,6272,1357
534,9485,9264,1357
4732,9647,880,1357
9704,6285,8548,1358
9645,7993,4037,1358
8600,4377,5232,1357
4744,6458,7360,1356
7519,7730,1253,1357
4184,8422,8752,1357
969,1659,6036,1356
2165,6318,8528,1357
6497,5771,3424,1358
1545,7899,421,1358
5187,1028,8993,1356
1523,5357,3685,1358
9480,4103,9925,1356
8145,5603,2753,1356
4263,8420,4065,1358
3688,849,8512,1357
7542,5018,7061,1358
3148,4594,7568,1356
4065,6392,3888,1358
5559,1953,1637,1356
1258,4783,2657,1356
3868,806,4148,1357
4172,9366,8533,1357
9868,9593,8112,1357
8551,8167,1361,1356
9573,6681,4340,1358
1555,6856,9968,1358
824,5140,1844,1357
2988,6204,9169,1358
229,8188,1968,1357
7297,7344,6001,1356
118,9587,4768,1356
6189,7751,9268,1356
1521,1278,7668,1358
9670,1417,9392,1356
4749,9986,9621,1356
8841,7386,4005,1356
7664,6891,9429,1356
1297,9556,4368,1357
8178,2831,4948,1356
2414,8918,2560,1356
9917,4913,4561,1357
3672,442,800,1357
9837,1928,6532,1356
421,9476,9092,1358
6140,1132,6113,1357
8443,9520,9156,1357
2654,1692,8436,1358
6001,1320,341,1357
1524,8220,772,1356
8781,6059,4740,1356
7838,5116,6020,1356
8741,7016,4117,1358
7297,2183,9380,1358
6115,8170,9472,1358
69,7126,9349,1358
5883,8617,7600,1356
5229,5203,6128,1357
3737,9394,3781,1356
9781,6461,2448,1358
6911,9019,7745,1357
3792,7111,4789,1356
5331,8521,5,1356
8847,3870,2597,1357
9712,7652,8916,1358
4094,4530,421,1358
959,3476,3376,1358
1539,8973,6928,1358
9590,8483,2032,1357
8694,8620,4532,1356
9762,7119,6177,1357
1474,2860,4788,1358
4727,7541,9717,1357
1213,6330,3345,1356
4802,4314,2384,1356
2470,6362,6176,1356
5659,1728,2065,1356
7109,6256,7269,1357
9765,5215,3440,1356
9766,610,7540,1358
8158,8731,9520,1358
5131,8017,3440,1356
8768,446,2817,1356
765,7387,1444,1356
467,3398,4533,1357
5860,561,4836,1356
9569,1616,3089,1356
9623,5966,5248,1357
2427,6232,1317,1358
203,3550,288,1358
1719,1727,5120,1356
6852,8667,9393,1357
6320,5827,6581,1357
1293,3609,6421,1356
9960,7618,1472,1357
840,2742,8273,1357
7127,3361,6224,1357
5940,4812,8705,1357
4569,5964,2896,1358
76,1724,5376,1358
7224,9915,5749,1358
4807,9378,961,1358
3736,5979,3937,1356
1189,5305,2277,1358
3830,9847,4849,1357
9249,151,6964,1357
9200,3103,9493,1356
6451,2259,4725,1356
5278,5042,2161,1358
8049,7174,1153,1358
9213,913,1584,1357
1790,5740,4052,1357
5809,5101,8033,1357
351,2706,1601,1358
8372,9740,4869,1358
3546,4362,4688,1358
3811,4552,5633,1358
1693,508,8084,1357
8104,3081,7760,1356
1746,2085,368,1358
1058,4981,7444,1358
6136,4269,1296,1356
215,7714,3344,1356
921,3904,1905,1356
5718,7404,5905,1358
6895,5353,8613,1357
1292,7180,5348,1358
9081,1230,1040,1356
6292,2567,2772,1357
3847,3762,2513,1356
2490,1477,6613,1356
741,2295,7173,1358
3185,1054,3297,1357
4276,6249,4612,1356
6443,524,5905,1357
7569,8461,4512,1357
9092,4449,9280,1356
3329,9594,9296,1356
2349,1701,1649,1358
7019,4844,7857,1356
6532,2735,9185,1358
3471,8436,8037,1356
6401,4249,8773,1356
1679,912,6293,1356
5306,9852,5936,1358
8753,2451,2901,1358
1349,2230,4305,1358
6295,583,8912,1358
1542,6957,7365,1358
7075,7221,1121,1357
8079,8657,2885,1358
3365,6164,2097,1356
7602,8867,3393,1358
4309,7544,4117,1358
9270,6032,6260,1358
755,9097,480,1356
4399,2364,896,1356
1689,660,7985,1356
9120,5683,1844,1356
4020,6629,3797,1357
5945,8159,2433,1358
554,8742,2452,1356
7798,2704,49,1358
55,2201,2721,1356
9129,8007,8144,1358
6448,9248,4,1356
7192,3805,5616,1358
3999,1430,1856,1358
2673,9498,8736,1356
5489,6190,1456,1356
5958,5966,2580,1356
7749,2852,1124,1358
1911,2823,5684,1356
4457,7281,8917,1356
2746,3206,8977,1357
9019,3033,52,1358
5250,6424,5157,1356
6354,1778,7396,1356
8746,16,7732,1358
4549,4305,6000,1357
1699,5043,9620,1356
4838,8549,5201,1356
974,5160,3377,1357
9910,31,3124,1356
4660,7809,2225,1356
7507,6551,3317,1356
5248,862,4756,1356
4201,4286,5620,1358
2936,1749,2644,1357
5621,7470,784,1356
9782,3538,3041,1357
5632,3482,8036,1356
5666,3251,1345,1356
1885,6900,4516,1356
6288,4102,6241,1356
5212,5045,3988,1358
3004,3069,9761,1356
6442,7457,1861,1358
1234,4090,1632,1357
5681,7452,608,1357
4508,1811,7360,1358
2945,5735,500,1358
4549,5599,4084,1358
1457,1190,9648,1357
1131,8802,9393,1358
465,6982,6564,1358
4890,1535,1141,1358
7496,1528,4996,1358
2739,4495,4756,1356
657,8599,4853,1357
1688,7418,2784,1357
1617,7358,6672,1358
6251,3381,3445,1356
7488,710,4672,1358
4553,9962,7173,1356
635,9332,5793,1357
6266,5764,228,1356
7228,1704,9009,1358
5984,3315,8052,1358
1052,4370,9953,1356
7989,2944,7089,1356
7600,3077,9729,1358
9847,7283,9940,1357
3950,8341,257,1358
3794,9509,4784,1357
800,3089,8228,1357
9871,9476,501,1357
1079,8760,9248,1356
3636,8182,3840,1357
5451,3271,6736,1357
232,7707,6688,1358
2408,1629,2868,1358
4011,7378,4289,1356
567,1473,7557,1357
2795,1578,9552,1357
7679,9491,7889,1356
2447,5426,3633,1357
4642,9630,5520,1357
5375,373,6484,1357
8122,553,5600,1356
5570,7862,1205,1356
5868,9237,1296,1356
2524,3129,8929,1357
7274,2132,5920,1357
195,8987,528,1357
2149,3876,8132,1357
3182,3904,9492,1356
2147,3890,293,1356
8062,4791,5425,1358
9351,5828,3620,1356
4784,4734,9041,1357
6993,9610,3073,1356
7734,8208,4693,1356
9133,3138,737,1358
7478,1366,5060,1358
8763,5236,9425,1358
7800,3637,2357,1358
1471,7277,8964,1358
1702,4602,9216,1357
8830,7869,5540,1356
8184,7103,8033,1358
5384,7319,1552,1358
5685,1170,6597,1358
6884,9915,6997,1356
6086,2335,196,1357
2639,4810,7877,1356
685,4051,5125,1358
788,8612,4705,1357
2884,3030,3552,1356
4841,3378,8885,1356
512,5962,7072,1358
4403,9100,7089,1356
8784,8497,6784,1357
1161,5136,6068,1356
249,4948,3104,1356
7526,5192,5921,1356
7860,8926,7696,1356
7231,1256,8260,1357
582,2389,1957,1357
3351,7600,2084,1356
8973,4969,5649,1356
3874,6600,49,1357
2912,5430,4864,1356
6414,8862,2180,1357
9057,9876,7093,1358
5363,1430,3445,1357
2247,385,1265,1356
6349,8815,628,1356
5885,9299,853,1357
5615,2197,4820,1356
6788,4424,6673,1358
1282,3423,432,1356
7431,1777,7185,1356
